a	0 a
vọt	v ot5
vỏ	v o3
vỏi	v oi3
vỏm	v om3
vỏn	v on3
vỏng	v ong3
vố	v ob1
vốc	v obc1
vối	v obi1
vốm	v obm1
vốn	v obn1
vống	v obng1
vốp	v obp1
vốt	v obt1
vồ	v ob2
vồi	v obi2
vồm	v obm2
vồn	v obn2
vồng	v obng2
vổ	v ob3
vổi	v obi3
vổm	v obm3
vổn	v obn3
vổng	v obng3
vỗ	v ob4
vỗi	v obi4
vỗm	v obm4
vỗn	v obn4
vỗng	v obng4
vộ	v ob5
vộc	v obc5
vội	v obi5
vộm	v obm5
vộn	v obn5
vộng	v obng5
vộp	v obp5
vột	v obt5
vớ	v ow1
với	v owi1
vớm	v owm1
vớn	v own1
vớp	v owp1
vớt	v owt1
vờ	v ow2
vời	v owi2
vờm	v owm2
vờn	v own2
vở	v ow3
vởi	v owi3
vởm	v owm3
vởn	v own3
vỡ	v ow4
vỡi	v owi4
vỡm	v owm4
vỡn	v own4
vợ	v ow5
vợi	v owi5
vợm	v owm5
vợn	v own5
vợp	v owp5
vợt	v owt5
vụ	v u5
vụa	v ua5
vục	v uc5
vụi	v ui5
vụm	v um5
vụn	v un5
vụng	v ung5
vụp	v up5
vụt	v ut5
vủ	v u3
vủa	v ua3
vủi	v ui3
vủm	v um3
vủn	v un3
vủng	v ung3
vứ	v uw1
vứa	v uwa1
vức	v uwc1
vứi	v uwi1
vứm	v uwm1
vứn	v uwn1
vứng	v uwng1
vứt	v uwt1
vứu	v uwu1
vừ	v uw2
vừa	v uwa2
vừi	v uwi2
vừm	v uwm2
vừn	v uwn2
vừng	v uwng2
vừu	v uwu2
vử	v uw3
vửa	v uwa3
vửi	v uwi3
vửm	v uwm3
vửn	v uwn3
vửng	v uwng3
vửu	v uwu3
vữ	v uw4
vữa	v uwa4
vữi	v uwi4
vữm	v uwm4
vữn	v uwn4
vững	v uwng4
vữu	v uwu4
vự	v uw5
vựa	v uwa5
vực	v uwc5
vựi	v uwi5
vựm	v uwm5
vựn	v uwn5
vựng	v uwng5
vựt	v uwt5
vựu	v uwu5
vỳ	v y2
vỵ	v y5
vỷ	v y3
vỹ	v y4
xa	x a
xai	x ai
xam	x am
xan	x an
xang	x ang
xanh	x anh
xao	x ao
xau	x au
xay	x ay
xe	x e
xem	x em
xen	x en
xeng	x eng
xeo	x eo
xi	x i
xia	x ia
xim	x im
xin	x in
xinh	x inh
xiu	x iu
xiêm	x ieem
xiên	x ieen
xiêng	x ieeng
xiêu	x ieeu
xiếc	x ieec1
xiếm	x ieem1
xiến	x ieen1
xiếng	x ieeng1
xiếp	x ieep1
xiết	x ieet1
xiếu	x ieeu1
xiềm	x ieem2
xiền	x ieen2
xiềng	x ieeng2
xiều	x ieeu2
xiểm	x ieem3
xiển	x ieen3
xiểng	x ieeng3
xiểu	x ieeu3
xiễm	x ieem4
xiễn	x ieen4
xiễng	x ieeng4
xiễu	x ieeu4
xiệc	x ieec5
xiệm	x ieem5
xiện	x ieen5
xiệng	x ieeng5
xiệp	x ieep5
xiệt	x ieet5
xiệu	x ieeu5
xo	x o
xoa	x oa
xoai	x oai
xoam	x oam
xoan	x oan
xoang	x oang
xoanh	x oanh
xoao	x oao
xoay	x oay
xoe	x oe
xoem	x oem
xoen	x oen
xoeo	x oeo
xoi	x oi
xom	x om
xon	x on
xong	x ong
xoong	x oong
xoà	x oa2
xoài	x oai2
xoàm	x oam2
xoàn	x oan2
xoàng	x oang2
xoành	x oanh2
xoào	x oao2
xoày	x oay2
xoá	x oa1
xoác	x oac1
xoách	x oach1
xoái	x oai1
xoám	x oam1
xoán	x oan1
xoáng	x oang1
xoánh	x oanh1
xoáo	x oao1
xoáp	x oap1
xoát	x oat1
xoáy	x oay1
xoã	x oa4
xoãi	x oai4
xoãm	x oam4
xoãn	x oan4
xoãng	x oang4
xoãnh	x oanh4
xoão	x oao4
xoãy	x oay4
xoè	x oe2
xoèm	x oem2
xoèn	x oen2
xoèo	x oeo2
xoé	x oe1
xoém	x oem1
xoén	x oen1
xoéo	x oeo1
xoét	x oet1
xoòng	x oong2
xoóc	x ooc1
xoóng	x oong1
xoõng	x oong4
xoăm	x oawm
xoăn	x oawn
xoăng	x oawng
xoạ	x oa5
xoạc	x oac5
xoạch	x oach5
xoại	x oai5
xoạm	x oam5
xoạn	x oan5
xoạng	x oang5
xoạnh	x oanh5
xoạo	x oao5
xoạp	x oap5
xoạt	x oat5
xoạy	x oay5
xoả	x oa3
xoải	x oai3
xoảm	x oam3
xoản	x oan3
xoảng	x oang3
xoảnh	x oanh3
xoảo	x oao3
xoảy	x oay3
xoắc	x oawc1
xoắm	x oawm1
xoắn	x oawn1
xoắng	x oawng1
xoắt	x oawt1
xoằm	x oawm2
xoằn	x oawn2
xoằng	x oawng2
xoẳm	x oawm3
xoẳn	x oawn3
xoẳng	x oawng3
xoẵm	x oawm4
xoẵn	x oawn4
xoẵng	x oawng4
xoặc	x oawc5
xoặm	x oawm5
xoặn	x oawn5
xoặng	x oawng5
xoặt	x oawt5
xoẹ	x oe5
xoẹm	x oem5
xoẹn	x oen5
xoẹo	x oeo5
xoẹt	x oet5
xoẻ	x oe3
xoẻm	x oem3
xoẻn	x oen3
xoẻo	x oeo3
xoẽ	x oe4
xoẽm	x oem4
xoẽn	x oen4
xoẽo	x oeo4
xoọc	x ooc5
xoọng	x oong5
xoỏng	x oong3
xu	x u
xua	x ua
xui	x ui
xum	x um
xun	x un
xung	x ung
xuy	x uy
xuya	x uya
xuyn	x uyn
xuynh	x uynh
xuyu	x uyu
xuyên	x uyeen
xuyến	x uyeen1
xuyết	x uyeet1
xuyền	x uyeen2
xuyển	x uyeen3
xuyễn	x uyeen4
xuyện	x uyeen5
xuyệt	x uyeet5
xuân	x uaan
xuâng	x uaang
xuây	x uaay
xuê	x uee
xuênh	x ueenh
xuôi	x uobi
xuôm	x uobm
xuôn	x uobn
xuông	x uobng
xuý	x uy1
xuýa	x uya1
xuých	x uych1
xuýn	x uyn1
xuýnh	x uynh1
xuýp	x uyp1
xuýt	x uyt1
xuýu	x uyu1
xuơ	x uow
xuấn	x uaan1
xuấng	x uaang1
xuất	x uaat1
xuấy	x uaay1
xuần	x uaan2
xuầng	x uaang2
xuầy	x uaay2
xuẩn	x uaan3
xuẩng	x uaang3
xuẩy	x uaay3
xuẫn	x uaan4
xuẫng	x uaang4
xuẫy	x uaay4
xuận	x uaan5
xuậng	x uaang5
xuật	x uaat5
xuậy	x uaay5
xuế	x uee1
xuếch	x ueech1
xuếnh	x ueenh1
xuề	x uee2
xuềnh	x ueenh2
xuể	x uee3
xuểnh	x ueenh3
xuễ	x uee4
xuễnh	x ueenh4
xuệ	x uee5
xuệch	x ueech5
xuệnh	x ueenh5
xuốc	x uobc1
xuối	x uobi1
xuốm	x uobm1
xuốn	x uobn1
xuống	x uobng1
xuốp	x uobp1
xuốt	x uobt1
xuồi	x uobi2
xuồm	x uobm2
xuồn	x uobn2
xuồng	x uobng2
xuổi	x uobi3
xuổm	x uobm3
xuổn	x uobn3
xuổng	x uobng3
xuỗi	x uobi4
xuỗm	x uobm4
xuỗn	x uobn4
xuỗng	x uobng4
xuộc	x uobc5
xuội	x uobi5
xuộm	x uobm5
xuộn	x uobn5
xuộng	x uobng5
xuộp	x uobp5
xuột	x uobt5
xuớ	x uow1
xuờ	x uow2
xuở	x uow3
xuỡ	x uow4
xuợ	x uow5
xuỳ	x uy2
xuỳa	x uya2
xuỳn	x uyn2
xuỳnh	x uynh2
xuỳu	x uyu2
xuỵ	x uy5
xuỵa	x uya5
xuỵch	x uych5
xuỵn	x uyn5
xuỵnh	x uynh5
xuỵp	x uyp5
xuỵt	x uyt5
xuỵu	x uyu5
xuỷ	x uy3
xuỷa	x uya3
xuỷn	x uyn3
xuỷnh	x uynh3
xuỷu	x uyu3
xuỹ	x uy4
xuỹa	x uya4
xuỹn	x uyn4
xuỹnh	x uynh4
xuỹu	x uyu4
xy	x y
xà	x a2
xài	x ai2
xàm	x am2
xàn	x an2
xàng	x ang2
xành	x anh2
xào	x ao2
xàu	x au2
xày	x ay2
xá	x a1
xác	x ac1
xách	x ach1
xái	x ai1
xám	x am1
xán	x an1
xáng	x ang1
xánh	x anh1
xáo	x ao1
xáp	x ap1
xát	x at1
xáu	x au1
xáy	x ay1
xâm	x aam
xân	x aan
xâng	x aang
xâu	x aau
xây	x aay
xã	x a4
xãi	x ai4
xãm	x am4
xãn	x an4
xãng	x ang4
xãnh	x anh4
xão	x ao4
xãu	x au4
xãy	x ay4
xè	x e2
xèm	x em2
xèn	x en2
xèng	x eng2
xèo	x eo2
xé	x e1
xéc	x ec1
xém	x em1
xén	x en1
xéng	x eng1
xéo	x eo1
xép	x ep1
xét	x et1
xê	x ee
xêm	x eem
xên	x een
xênh	x eenh
xêu	x eeu
xì	x i2
xìa	x ia2
xìm	x im2
xìn	x in2
xình	x inh2
xìu	x iu2
xí	x i1
xía	x ia1
xích	x ich1
xím	x im1
xín	x in1
xính	x inh1
xíp	x ip1
xít	x it1
xíu	x iu1
xò	x o2
xòa	x oa2
xòe	x oe2
xòi	x oi2
xòm	x om2
xòn	x on2
xòng	x ong2
xó	x o1
xóa	x oa1
xóc	x oc1
xói	x oi1
xóm	x om1
xón	x on1
xóng	x ong1
xóp	x op1
xót	x ot1
xô	x ob
xôi	x obi
xôm	x obm
xôn	x obn
xông	x obng
xõ	x o4
xõa	x oa4
xõi	x oi4
xõm	x om4
xõn	x on4
xõng	x ong4
xù	x u2
xùa	x ua2
xùi	x ui2
xùm	x um2
xùn	x un2
xùng	x ung2
xùy	x uy2
xú	x u1
xúa	x ua1
xúc	x uc1
xúi	x ui1
xúm	x um1
xún	x un1
xúng	x ung1
xúp	x up1
xút	x ut1
xúy	x uy1
xý	x y1
xăm	x awm
xăn	x awn
xăng	x awng
xĩ	x i4
xĩa	x ia4
xĩm	x im4
xĩn	x in4
xĩnh	x inh4
xĩu	x iu4
xũ	x u4
xũa	x ua4
xũi	x ui4
xũm	x um4
xũn	x un4
xũng	x ung4
xơ	x ow
xơi	x owi
xơm	x owm
xơn	x own
xư	x uw
xưa	x uwa
xưi	x uwi
xưm	x uwm
xưn	x uwn
xưng	x uwng
xưu	x uwu
xươi	x uwowi
xươm	x uwowm
xươn	x uwown
xương	x uwowng
xươu	x uwowu
xước	x uwowc1
xưới	x uwowi1
xướm	x uwowm1
xướn	x uwown1
xướng	x uwowng1
xướp	x uwowp1
xướt	x uwowt1
xướu	x uwowu1
xười	x uwowi2
xườm	x uwowm2
xườn	x uwown2
xường	x uwowng2
xườu	x uwowu2
xưởi	x uwowi3
xưởm	x uwowm3
xưởn	x uwown3
xưởng	x uwowng3
xưởu	x uwowu3
xưỡi	x uwowi4
xưỡm	x uwowm4
xưỡn	x uwown4
xưỡng	x uwowng4
xưỡu	x uwowu4
xược	x uwowc5
xượi	x uwowi5
xượm	x uwowm5
xượn	x uwown5
xượng	x uwowng5
xượp	x uwowp5
xượt	x uwowt5
xượu	x uwowu5
xạ	x a5
xạc	x ac5
xạch	x ach5
xại	x ai5
xạm	x am5
xạn	x an5
xạng	x ang5
xạnh	x anh5
xạo	x ao5
xạp	x ap5
xạt	x at5
xạu	x au5
xạy	x ay5
xả	x a3
xải	x ai3
xảm	x am3
xản	x an3
xảng	x ang3
xảnh	x anh3
xảo	x ao3
xảu	x au3
xảy	x ay3
xấc	x aac1
xấm	x aam1
xấn	x aan1
xấng	x aang1
xấp	x aap1
xất	x aat1
xấu	x aau1
xấy	x aay1
xầm	x aam2
xần	x aan2
xầng	x aang2
xầu	x aau2
xầy	x aay2
xẩm	x aam3
xẩn	x aan3
xẩng	x aang3
xẩu	x aau3
xẩy	x aay3
xẫm	x aam4
xẫn	x aan4
xẫng	x aang4
xẫu	x aau4
xẫy	x aay4
xậc	x aac5
xậm	x aam5
xận	x aan5
xậng	x aang5
xập	x aap5
xật	x aat5
xậu	x aau5
xậy	x aay5
xắc	x awc1
xắm	x awm1
xắn	x awn1
xắng	x awng1
xắp	x awp1
xắt	x awt1
xằm	x awm2
xằn	x awn2
xằng	x awng2
xẳm	x awm3
xẳn	x awn3
xẳng	x awng3
xẵm	x awm4
xẵn	x awn4
xẵng	x awng4
xặc	x awc5
xặm	x awm5
xặn	x awn5
xặng	x awng5
xặp	x awp5
xặt	x awt5
xẹ	x e5
xẹc	x ec5
xẹm	x em5
xẹn	x en5
xẹng	x eng5
xẹo	x eo5
xẹp	x ep5
xẹt	x et5
xẻ	x e3
xẻm	x em3
xẻn	x en3
xẻng	x eng3
xẻo	x eo3
xẽ	x e4
xẽm	x em4
xẽn	x en4
xẽng	x eng4
xẽo	x eo4
xế	x ee1
xếch	x eech1
xếm	x eem1
xến	x een1
xếnh	x eenh1
xếp	x eep1
xết	x eet1
xếu	x eeu1
xề	x ee2
xềm	x eem2
xền	x een2
xềng	x eeng2
xềnh	x eenh2
xều	x eeu2
xể	x ee3
xểm	x eem3
xển	x een3
xểnh	x eenh3
xểu	x eeu3
xễ	x ee4
xễm	x eem4
xễn	x een4
xễnh	x eenh4
xễu	x eeu4
xệ	x ee5
xệch	x eech5
xệm	x eem5
xện	x een5
xệnh	x eenh5
xệp	x eep5
xệt	x eet5
xệu	x eeu5
xỉ	x i3
xỉa	x ia3
xỉm	x im3
xỉn	x in3
xỉnh	x inh3
xỉu	x iu3
xị	x i5
xịa	x ia5
xịch	x ich5
xịm	x im5
xịn	x in5
xịnh	x inh5
xịp	x ip5
xịt	x it5
xịu	x iu5
xọ	x o5
xọa	x oa5
xọc	x oc5
xọi	x oi5
xọm	x om5
xọn	x on5
xọng	x ong5
xọp	x op5
xọt	x ot5
xỏ	x o3
xỏa	x oa3
xỏi	x oi3
xỏm	x om3
xỏn	x on3
xỏng	x ong3
xố	x ob1
xốc	x obc1
xối	x obi1
xốm	x obm1
xốn	x obn1
xống	x obng1
xốp	x obp1
xốt	x obt1
xồ	x ob2
xồi	x obi2
xồm	x obm2
xồn	x obn2
xồng	x obng2
xổ	x ob3
xổi	x obi3
xổm	x obm3
xổn	x obn3
xổng	x obng3
xỗ	x ob4
xỗi	x obi4
xỗm	x obm4
xỗn	x obn4
xỗng	x obng4
xộ	x ob5
xộc	x obc5
xội	x obi5
xộm	x obm5
xộn	x obn5
xộng	x obng5
xộp	x obp5
xột	x obt5
xớ	x ow1
xới	x owi1
xớm	x owm1
xớn	x own1
xớp	x owp1
xớt	x owt1
xờ	x ow2
xời	x owi2
xờm	x owm2
xờn	x own2
xở	x ow3
xởi	x owi3
xởm	x owm3
xởn	x own3
xỡ	x ow4
xỡi	x owi4
xỡm	x owm4
xỡn	x own4
xợ	x ow5
xợi	x owi5
xợm	x owm5
xợn	x own5
xợp	x owp5
xợt	x owt5
xụ	x u5
xụa	x ua5
xục	x uc5
xụi	x ui5
xụm	x um5
xụn	x un5
xụng	x ung5
xụp	x up5
xụt	x ut5
xủ	x u3
xủa	x ua3
xủi	x ui3
xủm	x um3
xủn	x un3
xủng	x ung3
xứ	x uw1
xứa	x uwa1
xức	x uwc1
xứi	x uwi1
xứm	x uwm1
xứn	x uwn1
xứng	x uwng1
xứt	x uwt1
xứu	x uwu1
xừ	x uw2
xừa	x uwa2
xừi	x uwi2
xừm	x uwm2
xừn	x uwn2
xừng	x uwng2
xừu	x uwu2
xử	x uw3
xửa	x uwa3
xửi	x uwi3
xửm	x uwm3
xửn	x uwn3
xửng	x uwng3
xửu	x uwu3
xữ	x uw4
xữa	x uwa4
xữi	x uwi4
xữm	x uwm4
xữn	x uwn4
xững	x uwng4
xữu	x uwu4
xự	x uw5
xựa	x uwa5
xực	x uwc5
xựi	x uwi5
xựm	x uwm5
xựn	x uwn5
xựng	x uwng5
xựt	x uwt5
xựu	x uwu5
xỳ	x y2
xỵ	x y5
xỷ	x y3
xỹ	x y4
y	0 y
ya	0 ya
yang	0 yang
yeng	0 yeng
yiêng	0 yieeng
yêm	0 yeem
yên	0 yeen
yêng	0 yeeng
yêu	0 yeeu
yông	0 yobng
yếm	1 yeem1
yến	1 yeen1
yếng	1 yeeng1
yếp	1 yeep1
yết	1 yeet1
yếu	1 yeeu1
yềm	2 yeem2
yền	2 yeen2
yềng	2 yeeng2
yều	2 yeeu2
yểm	3 yeem3
yển	3 yeen3
yểng	3 yeeng3
yểu	3 yeeu3
yễm	4 yeem4
yễn	4 yeen4
yễng	4 yeeng4
yễu	4 yeeu4
yệm	5 yeem5
yện	5 yeen5
yệng	5 yeeng5
yệt	5 yeet5
yệu	5 yeeu5
à	2 a2
ài	2 ai2
àm	2 am2
àn	2 an2
àng	2 ang2
ành	2 anh2
ào	2 ao2
àu	2 au2
ày	2 ay2
á	1 a1
ác	1 ac1
ách	1 ach1
ái	1 ai1
ám	1 am1
án	1 an1
áng	1 ang1
ánh	1 anh1
áo	1 ao1
áp	1 ap1
át	1 at1
áu	1 au1
áy	1 ay1
âm	0 aam
ân	0 aan
âng	0 aang
âu	0 aau
ây	0 aay
ã	4 a4
ãi	4 ai4
ãm	4 am4
ãn	4 an4
ãng	4 ang4
ãnh	4 anh4
ão	4 ao4
ãu	4 au4
ãy	4 ay4
è	2 e2
èm	2 em2
èn	2 en2
èng	2 eng2
èo	2 eo2
é	1 e1
éc	1 ec1
ém	1 em1
én	1 en1
éng	1 eng1
éo	1 eo1
ép	1 ep1
ét	1 et1
ê	0 ee
êm	0 eem
ên	0 een
ênh	0 eenh
êu	0 eeu
ì	2 i2
ìa	2 ia2
ìm	2 im2
ìn	2 in2
ình	2 inh2
ìu	2 iu2
í	1 i1
ía	1 ia1
ích	1 ich1
ím	1 im1
ín	1 in1
ính	1 inh1
íp	1 ip1
ít	1 it1
íu	1 iu1
ò	2 o2
òa	2 oa2
òi	2 oi2
òm	2 om2
òn	2 on2
òng	2 ong2
ó	1 o1
óc	1 oc1
óe	1 oe1
ói	1 oi1
óm	1 om1
ón	1 on1
óng	1 ong1
óp	1 op1
ót	1 ot1
ô	0 ob
ôi	0 obi
ôm	0 obm
ôn	0 obn
ông	0 obng
õ	4 o4
õi	4 oi4
õm	4 om4
õn	4 on4
õng	4 ong4
ù	2 u2
ùa	2 ua2
ùi	2 ui2
ùm	2 um2
ùn	2 un2
ùng	2 ung2
ùy	2 uy2
ú	1 u1
úa	1 ua1
úc	1 uc1
úi	1 ui1
úm	1 um1
ún	1 un1
úng	1 ung1
úp	1 up1
út	1 ut1
úy	1 uy1
ý	1 y1
ăm	0 awm
ăn	0 awn
ăng	0 awng
đa	dd a
đai	dd ai
đam	dd am
đan	dd an
đang	dd ang
đanh	dd anh
đao	dd ao
đau	dd au
đay	dd ay
đe	dd e
đem	dd em
đen	dd en
đeng	dd eng
đeo	dd eo
đi	dd i
đia	dd ia
đim	dd im
đin	dd in
đinh	dd inh
điu	dd iu
điêm	dd ieem
điên	dd ieen
điêng	dd ieeng
điêu	dd ieeu
điếc	dd ieec1
điếm	dd ieem1
điến	dd ieen1
điếng	dd ieeng1
điếp	dd ieep1
điết	dd ieet1
điếu	dd ieeu1
điềm	dd ieem2
điền	dd ieen2
điềng	dd ieeng2
điều	dd ieeu2
điểm	dd ieem3
điển	dd ieen3
điểng	dd ieeng3
điểu	dd ieeu3
điễm	dd ieem4
điễn	dd ieen4
điễng	dd ieeng4
điễu	dd ieeu4
điệc	dd ieec5
điệm	dd ieem5
điện	dd ieen5
điệng	dd ieeng5
điệp	dd ieep5
điệt	dd ieet5
điệu	dd ieeu5
đo	dd o
đoa	dd oa
đoai	dd oai
đoam	dd oam
đoan	dd oan
đoang	dd oang
đoanh	dd oanh
đoao	dd oao
đoay	dd oay
đoe	dd oe
đoem	dd oem
đoen	dd oen
đoeo	dd oeo
đoi	dd oi
đom	dd om
đon	dd on
đong	dd ong
đoong	dd oong
đoà	dd oa2
đoài	dd oai2
đoàm	dd oam2
đoàn	dd oan2
đoàng	dd oang2
đoành	dd oanh2
đoào	dd oao2
đoày	dd oay2
đoá	dd oa1
đoác	dd oac1
đoách	dd oach1
đoái	dd oai1
đoám	dd oam1
đoán	dd oan1
đoáng	dd oang1
đoánh	dd oanh1
đoáo	dd oao1
đoáp	dd oap1
đoát	dd oat1
đoáy	dd oay1
đoã	dd oa4
đoãi	dd oai4
đoãm	dd oam4
đoãn	dd oan4
đoãng	dd oang4
đoãnh	dd oanh4
đoão	dd oao4
đoãy	dd oay4
đoè	dd oe2
đoèm	dd oem2
đoèn	dd oen2
đoèo	dd oeo2
đoé	dd oe1
đoém	dd oem1
đoén	dd oen1
đoéo	dd oeo1
đoét	dd oet1
đoòng	dd oong2
đoóc	dd ooc1
đoóng	dd oong1
đoõng	dd oong4
đoăm	dd oawm
đoăn	dd oawn
đoăng	dd oawng
đoạ	dd oa5
đoạc	dd oac5
đoạch	dd oach5
đoại	dd oai5
đoạm	dd oam5
đoạn	dd oan5
đoạng	dd oang5
đoạnh	dd oanh5
đoạo	dd oao5
đoạp	dd oap5
đoạt	dd oat5
đoạy	dd oay5
đoả	dd oa3
đoải	dd oai3
đoảm	dd oam3
đoản	dd oan3
đoảng	dd oang3
đoảnh	dd oanh3
đoảo	dd oao3
đoảy	dd oay3
đoắc	dd oawc1
đoắm	dd oawm1
đoắn	dd oawn1
đoắng	dd oawng1
đoắt	dd oawt1
đoằm	dd oawm2
đoằn	dd oawn2
đoằng	dd oawng2
đoẳm	dd oawm3
đoẳn	dd oawn3
đoẳng	dd oawng3
đoẵm	dd oawm4
đoẵn	dd oawn4
đoẵng	dd oawng4
đoặc	dd oawc5
đoặm	dd oawm5
đoặn	dd oawn5
đoặng	dd oawng5
đoặt	dd oawt5
đoẹ	dd oe5
đoẹm	dd oem5
đoẹn	dd oen5
đoẹo	dd oeo5
đoẹt	dd oet5
đoẻ	dd oe3
đoẻm	dd oem3
đoẻn	dd oen3
đoẻo	dd oeo3
đoẽ	dd oe4
đoẽm	dd oem4
đoẽn	dd oen4
đoẽo	dd oeo4
đoọc	dd ooc5
đoọng	dd oong5
đoỏng	dd oong3
đu	dd u
đua	dd ua
đui	dd ui
đum	dd um
đun	dd un
đung	dd ung
đuy	dd uy
đuya	dd uya
đuyn	dd uyn
đuynh	dd uynh
đuyu	dd uyu
đuyên	dd uyeen
đuyến	dd uyeen1
đuyết	dd uyeet1
đuyền	dd uyeen2
đuyển	dd uyeen3
đuyễn	dd uyeen4
đuyện	dd uyeen5
đuyệt	dd uyeet5
đuân	dd uaan
đuâng	dd uaang
đuây	dd uaay
đuê	dd uee
đuênh	dd ueenh
đuôi	dd uobi
đuôm	dd uobm
đuôn	dd uobn
đuông	dd uobng
đuý	dd uy1
đuýa	dd uya1
đuých	dd uych1
đuýn	dd uyn1
đuýnh	dd uynh1
đuýp	dd uyp1
đuýt	dd uyt1
đuýu	dd uyu1
đuơ	dd uow
đuấn	dd uaan1
đuấng	dd uaang1
đuất	dd uaat1
đuấy	dd uaay1
đuần	dd uaan2
đuầng	dd uaang2
đuầy	dd uaay2
đuẩn	dd uaan3
đuẩng	dd uaang3
đuẩy	dd uaay3
đuẫn	dd uaan4
đuẫng	dd uaang4
đuẫy	dd uaay4
đuận	dd uaan5
đuậng	dd uaang5
đuật	dd uaat5
đuậy	dd uaay5
đuế	dd uee1
đuếch	dd ueech1
đuếnh	dd ueenh1
đuề	dd uee2
đuềnh	dd ueenh2
đuể	dd uee3
đuểnh	dd ueenh3
đuễ	dd uee4
đuễnh	dd ueenh4
đuệ	dd uee5
đuệch	dd ueech5
đuệnh	dd ueenh5
đuốc	dd uobc1
đuối	dd uobi1
đuốm	dd uobm1
đuốn	dd uobn1
đuống	dd uobng1
đuốp	dd uobp1
đuốt	dd uobt1
đuồi	dd uobi2
đuồm	dd uobm2
đuồn	dd uobn2
đuồng	dd uobng2
đuổi	dd uobi3
đuổm	dd uobm3
đuổn	dd uobn3
đuổng	dd uobng3
đuỗi	dd uobi4
đuỗm	dd uobm4
đuỗn	dd uobn4
đuỗng	dd uobng4
đuộc	dd uobc5
đuội	dd uobi5
đuộm	dd uobm5
đuộn	dd uobn5
đuộng	dd uobng5
đuộp	dd uobp5
đuột	dd uobt5
đuớ	dd uow1
đuờ	dd uow2
đuở	dd uow3
đuỡ	dd uow4
đuợ	dd uow5
đuỳ	dd uy2
đuỳa	dd uya2
đuỳn	dd uyn2
đuỳnh	dd uynh2
đuỳu	dd uyu2
đuỵ	dd uy5
đuỵa	dd uya5
đuỵch	dd uych5
đuỵn	dd uyn5
đuỵnh	dd uynh5
đuỵp	dd uyp5
đuỵt	dd uyt5
đuỵu	dd uyu5
đuỷ	dd uy3
đuỷa	dd uya3
đuỷn	dd uyn3
đuỷnh	dd uynh3
đuỷu	dd uyu3
đuỹ	dd uy4
đuỹa	dd uya4
đuỹn	dd uyn4
đuỹnh	dd uynh4
đuỹu	dd uyu4
đy	dd y
đà	dd a2
đài	dd ai2
đàm	dd am2
đàn	dd an2
đàng	dd ang2
đành	dd anh2
đào	dd ao2
đàu	dd au2
đày	dd ay2
đá	dd a1
đác	dd ac1
đách	dd ach1
đái	dd ai1
đám	dd am1
đán	dd an1
đáng	dd ang1
đánh	dd anh1
đáo	dd ao1
đáp	dd ap1
đát	dd at1
đáu	dd au1
đáy	dd ay1
đâm	dd aam
đân	dd aan
đâng	dd aang
đâu	dd aau
đây	dd aay
đã	dd a4
đãi	dd ai4
đãm	dd am4
đãn	dd an4
đãng	dd ang4
đãnh	dd anh4
đão	dd ao4
đãu	dd au4
đãy	dd ay4
đè	dd e2
đèm	dd em2
đèn	dd en2
đèng	dd eng2
đèo	dd eo2
đé	dd e1
đéc	dd ec1
đém	dd em1
đén	dd en1
đéng	dd eng1
đéo	dd eo1
đép	dd ep1
đét	dd et1
đê	dd ee
đêm	dd eem
đên	dd een
đênh	dd eenh
đêu	dd eeu
đì	dd i2
đìa	dd ia2
đìm	dd im2
đìn	dd in2
đình	dd inh2
đìu	dd iu2
đí	dd i1
đía	dd ia1
đích	dd ich1
đím	dd im1
đín	dd in1
đính	dd inh1
đíp	dd ip1
đít	dd it1
đíu	dd iu1
đò	dd o2
đòi	dd oi2
đòm	dd om2
đòn	dd on2
đòng	dd ong2
đó	dd o1
đóa	dd oa1
đóc	dd oc1
đói	dd oi1
đóm	dd om1
đón	dd on1
đóng	dd ong1
đóp	dd op1
đót	dd ot1
đô	dd ob
đôi	dd obi
đôm	dd obm
đôn	dd obn
đông	dd obng
đõ	dd o4
đõi	dd oi4
đõm	dd om4
đõn	dd on4
đõng	dd ong4
đù	dd u2
đùa	dd ua2
đùi	dd ui2
đùm	dd um2
đùn	dd un2
đùng	dd ung2
đú	dd u1
đúa	dd ua1
đúc	dd uc1
đúi	dd ui1
đúm	dd um1
đún	dd un1
đúng	dd ung1
đúp	dd up1
đút	dd ut1
đý	dd y1
đăm	dd awm
đăn	dd awn
đăng	dd awng
đĩ	dd i4
đĩa	dd ia4
đĩm	dd im4
đĩn	dd in4
đĩnh	dd inh4
đĩu	dd iu4
đũ	dd u4
đũa	dd ua4
đũi	dd ui4
đũm	dd um4
đũn	dd un4
đũng	dd ung4
đơ	dd ow
đơi	dd owi
đơm	dd owm
đơn	dd own
đư	dd uw
đưa	dd uwa
đưi	dd uwi
đưm	dd uwm
đưn	dd uwn
đưng	dd uwng
đưu	dd uwu
đươi	dd uwowi
đươm	dd uwowm
đươn	dd uwown
đương	dd uwowng
đươu	dd uwowu
đước	dd uwowc1
đưới	dd uwowi1
đướm	dd uwowm1
đướn	dd uwown1
đướng	dd uwowng1
đướp	dd uwowp1
đướt	dd uwowt1
đướu	dd uwowu1
đười	dd uwowi2
đườm	dd uwowm2
đườn	dd uwown2
đường	dd uwowng2
đườu	dd uwowu2
đưởi	dd uwowi3
đưởm	dd uwowm3
đưởn	dd uwown3
